HITId	tweet	sentiment	directness	annotator_sentiment	target	group	hate
4519	btw....machado twat!!!! #everybodyin @user	offensive	indirect	anger_shock	other	special_needs	True
1653	@user sup negro	offensive_disrespectful	indirect	confusion_fear_shock_indifference_disgust	origin	other	True
2763	mean.... shithole country? @url	offensive	indirect	anger_confusion_shock_indifference_disgust	origin	other	True
3297	@user dumb macaron worry making france livable country shithole becom @url	offensive	indirect	shock_indifference	origin	other	True
203	@user @user outrageous!!!!!!!! outrageous!!! youre going illegal aliens (because thats wh @url	offensive	indirect	anger_disgust	origin	special_needs	True
1095	@user bra crush girl named london crush another kid (he's retard) lol @url	hateful	indirect	anger_fear_indifference_sadness_disgust	disability	special_needs	True
3369	@user yall gettin mad laugh asian jokes time. hear yall goin ching chong @url	offensive	indirect	anger_disgust	origin	asians	True
5029	@user help out. white domestic terrorist #timothymcveigh #liberal #leftist? (to help u @url	offensive	direct	anger_fear_shock_sadness_disgust	origin	individual	True
2436	@user say nigger text chat everyone getting banned say word nibba	offensive	indirect	anger_shock	origin	other	True
762	information @user absolute twat reason sjws told deserve get gaybashed ju @url	offensive_hateful	direct	shock_disgust	gender	special_needs	True
4139	@user even need give much thought.. retarded idea	offensive_disrespectful	indirect	anger_sadness	disability	special_needs	True
1200	democrats want give brett kavanaugh due proces rights want give illegal aliens possible due pr @url	offensive	indirect	sadness_indifference	origin	left_wing_people	True
1968	@user @user idiot anything called spic wetback may seem @url	offensive	indirect	anger_confusion_fear_indifference_disgust	origin	other	True
2240	fucking retarded ass people man	offensive	indirect	shock_indifference	disability	special_needs	True
5007	@user learn something pro uneducated twat! @url	normal	indirect	anger_confusion_sadness_indifference_disgust	gender	women	False
2182	trump famous insults. shithole countries failing fake news evil democrats criminal immigran @url	normal	indirect	anger_sadness_indifference_disgust	other	other	False
4260	@user im racist spic youll ever meett	offensive	indirect	anger_fear_shock_indifference_sadness	origin	other	True
3595	@user nigga half retarded god bc caption say fruit loopsn box fruit loops @url	offensive_hateful	indirect	anger_shock	origin	special_needs	True
4071	@user yes @user mongoloid	offensive_normal	indirect	anger_sadness	origin	special_needs	True
2013	added video @user playlist @url mega faggot sound effect	abusive_offensive	indirect	confusion_sadness_shock_indifference_disgust	sexual_orientation	gay	True
3604	seeing united fans making jokes helicopter crash last night new level retarded.	offensive	indirect	anger_shock	disability	special_needs	True
4100	@user @user bloody psychopath give resign go back country (pakistan)	fearful_hateful	direct	sadness_disgust	origin	muslims	True
4675	2nd &amp; 22 eddie fucking dumbass retard gran decides run bubble screen. fire dumb ass.	offensive	indirect	sadness_indifference	disability	special_needs	True
3367	that's clue faggot ass...	offensive	indirect	anger_sadness	origin	gay	True
3999	@user terrorist distinctions. liberals always violently pursuing leftist agenda. conservatives @url	offensive	indirect	anger_confusion_sadness_disgust	other	other	True
2223	@user ate mine haha get cus ching chong	abusive_normal	direct	shock_indifference	origin	muslims	True
46	think women might retarded bro. like possesses y'all say shit y'all say? 	offensive	indirect	anger_fear_indifference_sadness_disgust	disability	special_needs	True
4289	god he's fucking twat. @url	offensive	indirect	anger_disgust	gender	women	True
3159	look hands shithole countries hands?	offensive	indirect	anger_fear	origin	other	True
1357	p.s. jethro trudeau always useless twat! @url	offensive	indirect	fear_shock_indifference_sadness_disgust	gender	left_wing_people	True
2956	san francisco cities allow illegal aliens vote admonished house @url via @user	offensive	indirect	anger_shock	origin	jews	True
3259	@user think twat  @url	abusive_offensive_hateful_disrespectful_normal	indirect	indifference_disgust	gender	individual	True
4228	@user see negro ye still halfway sunken place smh	offensive	indirect	confusion_sadness_shock_indifference_disgust	origin	african_descent	True
5251	dem dumb nigger genes you. they'll join party actively trying exterminate them.	hateful	indirect	sadness_disgust	origin	special_needs	True
1182	@user @user meta world peace?	normal	indirect	sadness_indifference	other	individual	False
3525	@user @user @user @user thread twat.nnyou literally said it' @url	abusive_normal	indirect	sadness_disgust	other	women	True
158	keep mind im negro open mind got screen door best bar whole fuckin album lol	offensive	indirect	anger_sadness	origin	other	True
4077	mfers retarded  @url	offensive	indirect	anger_confusion_sadness_indifference_disgust	disability	other	True
4668	@user sorry what? simply pointing white immigrants. bit racist onl @url	offensive	indirect	confusion_indifference	other	other	True
